1742G,1742,Orray,1500,5554
1742F,1742,Smaller,1500,6375
1742E,1742,Scuza,1200,12088
1742D,1742,Coprime,1100,13057
1742C,1742,Stripes,900,20038
1742B,1742,Increasing,800,27437
1742A,1742,Sum,800,31467
1741G,1741,Kirill and Company,2200,915
1741F,1741,Multi-Colored Segments,2000,1450
1741E,1741,Sending a Sequence Over the Network,1600,6049
1741D,1741,Masha and a Beautiful Tree,1300,9406
1741C,1741,Minimize the Thickness,1100,12594
1741B,1741,Funny Permutation,800,19988
1741A,1741,Compare T-Shirt Sizes,800,22604
1740I,1740,Arranging Crystal Balls,3500,28
1740H,1740,MEX Tree Manipulation,3300,74
1740G,1740,Dangerous Laser Power,3100,84
1740F,1740,Conditional Mix,2600,418
1740E,1740,Hanging Hearts,1800,2441
1740D,1740,Knowledge Cards,1500,4982
1740C,1740,Bricks and Bags,1400,6895
1740B,1740,Jumbo Extra Cheese 2,800,10968
1740A,1740,Factorise N+M,800,13944
1739F,1739,Keyboard Design,2600,317
1739E,1739,Cleaning Robot,2400,807
1739D,1739,Reset K Edges,1900,3354
1739C,1739,Card Game,1500,6503
1739B,1739,Array Recovery,1100,15563
1739A,1739,Immobile Knight,800,19113
1738H,1738,Palindrome Addicts,3300,124
1738G,1738,Anti-Increasing Addicts,2900,249
1738F,1738,Connectivity Addicts,2400,869
1738E,1738,Balance Addicts,2300,1110
1738D,1738,Permutation Addicts,1900,2590
1738C,1738,Even Number Addicts,1500,7332
1738B,1738,Prefix Sum Addicts,1200,9723
1738A,1738,Glory Addicts,800,11943
1737G,1737,Ela Takes Dancing Class,3500,63
1737F,1737,Ela and Prime GCD,3300,85
1737E,1737,Ela Goes Hiking,2500,674
1737D,1737,Ela and the Wiring Wizard,2200,1436
1737C,1737,Ela and Crickets,1500,4196
1737B,1737,Ela's Fitness and the Luxury Number,1300,6809
1737A,1737,Ela Sorting Books,900,8165
1736E,1736,Swap and Take,2600,347
1736D,1736,Equal Binary Subsequences,2200,1711
1736C2,1736,Good Subarrays (Hard Version),2400,863
1736C1,1736,Good Subarrays (Easy Version),1300,10028
1736B,1736,Playing with GCD,1200,10997
1736A,1736,Make A Equal to B,800,18258
1735F,1735,Pebbles and Beads,2900,138
1735E,1735,House Planning,2400,804
1735D,1735,Meta-set,1700,3912
1735C,1735,Phase Shift,1400,7171
1735B,1735,Tea with Tangerines,900,14194
1735A,1735,Working Week,800,17185
1734F,1734,Zeros and Ones,2500,519
1734E,1734,Rectangular Congruence,2100,2045
1734D,1734,Slime Escape,1800,4374
1734C,1734,Removing Smallest Multiples,1200,11859
1734B,1734,"Bright, Nice, Brilliant",800,13815
1734A,1734,Select Three Sticks,800,17675
1733E,1733,Conveyor,2700,783
1733D2,1733,Zero-One (Hard Version),2000,2962
1733D1,1733,Zero-One (Easy Version),1400,9240
1733C,1733,Parity Shuffle Sorting,1300,11034
1733B,1733,Rule of League,900,15623
1733A,1733,Consecutive Sum,800,18033
1732E,1732,Location,2800,212
1732D2,1732,Balance (Hard version),2400,863
1732D1,1732,Balance (Easy version),1500,5129
1732C2,1732,Sheikh (Hard Version),2100,1566
1732C1,1732,Sheikh (Easy version),1800,3388
1732B,1732,Ugu,900,9232
1732A,1732,Bestie,1000,9299
1730F,1730,Almost Sorted,2700,239
1730E,1730,Maximums and Minimums,2700,388
1730D,1730,Prefixes and Suffixes,2200,2045
1730C,1730,Minimum Notation,1200,11817
1730B,1730,Meeting on the Line,1600,8381
1730A,1730,Planets,800,18745
1729G,1729,Cut Substrings,2100,1530
1729F,1729,Kirei and the Linear Function,1900,3100
1729E,1729,Guess the Cycle Size,1800,5145
1729D,1729,Friends and the Restaurant,1200,13288
1729C,1729,Jumping on Tiles,1100,15168
1729B,1729,Decode String,800,23893
1729A,1729,Two Elevators,800,29960
1728G,1728,Illumination,2700,265
1728F,1728,Fishermen,3100,197
1728E,1728,Red-Black Pepper,2300,1274
1728D,1728,Letter Picking,1800,5050
1728C,1728,Digital Logarithm,1400,11210
1728B,1728,Best Permutation,800,17799
1728A,1728,Colored Balls: Revisited,800,21637
1726H,1726,Mainak and the Bleeding Polygon,3500,49
1726G,1726,A Certain Magical Party,3300,154
1726F,1726,Late For Work (submissions are not allowed),2900,131
1726E,1726,Almost Perfect,2400,1070
1726D,1726,Edge Split,2000,2775
1726C,1726,Jatayu's Balanced Bracket Sequence,1300,9656
1726B,1726,Mainak and Interesting Sequence,1100,12329
1726A,1726,Mainak and Array,900,15626
1725M,1725,Moving Both Hands,1800,1572
1725L,1725,Lemper Cooking Competition,2400,547
1725K,1725,Kingdom of Criticism,2500,347
1725J,1725,Journey,2500,220
1725I,1725,Imitating the Key Tree,2800,111
1725H,1725,Hot Black Hot White,1800,1530
1725G,1725,Garage,1500,3461
1725F,1725,Field Photography,2100,650
1725E,1725,Electrical Efficiency,2500,222
1725D,1725,Deducing Sortability,2900,82
1725C,1725,Circular Mirror,2000,952
1725B,1725,Basketball Together,1000,6515
1725A,1725,Accumulation of Dominoes,800,7319
1722G,1722,Even-Odd XOR,1500,6603
1722F,1722,L-shapes,1700,4661
1722E,1722,Counting Rectangles,1600,6666
1722D,1722,Line,1100,16571
1722C,1722,Word Game,800,22310
1722B,1722,Colourblindness,800,30635
1722A,1722,Spell Check,800,31335
1721F,1721,Matching Reduction,2800,257
1721E,1721,Prefix Function Queries,2200,1358
1721D,1721,Maximum AND,1800,4601
1721C,1721,Min-Max Array Transformation,1400,10060
1721B,1721,Deadly Laser,1000,17444
1721A,1721,Image,800,22610
1720E,1720,Misha and Paintings,2700,533
1720D2,1720,Xor-Subsequence (hard version),2400,1347
1720D1,1720,Xor-Subsequence (easy version),1800,4475
1720C,1720,Corners,1200,12974
1720B,1720,Interesting Sum,800,17868
1720A,1720,Burenka Plays with Fractions,900,17683
1719C,1719,Fighting Tournament,1400,10198
1719B,1719,Mathematical Circus,800,16736
1719A,1719,Chip Game,800,21941
1718F,1718,"Burenka, an Array and Queries",3300,66
1718E,1718,Impressionism,3500,66
1718D,1718,Permutation for Burenka,3300,162
1718C,1718,Tonya and Burenka-179,2400,1121
1718B,1718,Fibonacci Strings,2000,2095
1718A2,1718,Burenka and Traditions (hard version),1900,3639
1718A1,1718,Burenka and Traditions (easy version),1800,4090
1717F,1717,Madoka and The First Session,2500,376
1717E,1717,Madoka and The Best University,2200,1822
1717D,1717,Madoka and The Corruption Scheme,1900,3378
1717C,1717,Madoka and Formal Statement,1300,10784
1717B,1717,Madoka and Underground Competitions,1100,12331
1717A,1717,Madoka and Strange Thoughts,800,16846
1716F,1716,Bags with Balls,2500,673
1716E,1716,Swap and Maximum Block,2500,775
1716D,1716,Chip Move,2000,3839
1716C,1716,Robot in a Hallway,2000,3293
1716B,1716,Permutation Chain,800,19648
1716A,1716,2-3 Moves,800,25955
1715F,1715,Crop Squares,2700,384
1715E,1715,Long Way Home,2400,1119
1715D,1715,2+ doors,1900,3744
1715C,1715,Monoblock,1700,6759
1715B,1715,Beautiful Array,1000,16156
1715A,1715,Crossmarket,800,20977
1714G,1714,Path Prefixes,1700,5069
1714F,1714,Build a Tree and That Is It,1900,2273
1714E,1714,Add Modulo 10,1400,10851
1714D,1714,Color with Occurrences,1600,6417
1714C,1714,Minimum  Varied Number,800,23931
1714B,1714,Remove Prefix,800,23295
1714A,1714,Everyone Loves to Sleep,900,22306
1713F,1713,Lost Array,2900,295
1713E,1713,Cross Swapping,2400,1188
1713D,1713,Tournament Countdown,1800,4567
1713C,1713,Build Permutation,1200,13157
1713B,1713,Optimal Reduction,1000,17101
1713A,1713,Traveling Salesman Problem,800,19567
1712F,1712,Triameter,3200,173
1712E2,1712,LCM Sum (hard version),2500,854
1712E1,1712,LCM Sum (easy version),2300,1568
1712D,1712,Empty Graph,2000,3457
1712C,1712,Sort Zero,1100,15779
1712B,1712,Woeful Permutation,800,19298
1712A,1712,Wonderful Permutation,800,21481
1711B,1711,Party,1300,11085
1711A,1711,Perfect Permutation,800,22139
1710E,1710,Two Arrays,2400,367
1710D,1710,Recover the Tree,3400,277
1710C,1710,XOR Triangle,2500,996
1710B,1710,Rain,2100,1868
1710A,1710,Color the Picture,1500,8754
1709F,1709,Multiset of Strings,2500,416
1709E,1709,XOR Tree,2400,1543
1709D,1709,Rorororobot,1700,6364
1709C,1709,Recover an RBS,1800,6990
1709B,1709,Also Try Minecraft,900,18464
1709A,1709,Three Doors,800,24315
1708B,1708,Difference of GCDs,1100,16112
1708A,1708,Difference Operations,800,19381
1707F,1707,Bugaboo,3500,79
1707E,1707,Replace,3500,281
1707D,1707,Partial Virtual Trees,3000,325
1707C,1707,DFS Trees,2400,1046
1707B,1707,Difference Array,1900,4438
1707A,1707,Doremy's IQ,1600,9873
1706E,1706,Qpwoeirut and Vertices,2300,1683
1706D2,1706,Chopping Carrots (Hard Version),2400,1328
1706D1,1706,Chopping Carrots (Easy Version),1700,5367
1706C,1706,Qpwoeirut And The City,1400,11692
1706B,1706,Making Towers,1100,14224
1706A,1706,Another String Minimization Problem,800,20503
1705F,1705,Mark and the Online Exam,2900,414
1705E,1705,Mark and Professor Koro,2300,1590
1705D,1705,Mark and Lightbulbs,1800,4946
1705C,1705,Mark and His Unfinished Essay,1400,10686
1705B,1705,Mark the Dust Sweeper,900,18625
1705A,1705,Mark the Photographer,800,21799
1704H2,1704,Game of AI (hard version),3500,45
1704H1,1704,Game of AI (easy version),3200,119
1704G,1704,Mio and Lucky Array,3500,65
1704F,1704,Colouring Game,2600,611
1704E,1704,Count Seconds,2200,1821
1704D,1704,Magical Array,1900,4057
1704C,1704,Virus,1200,10628
1704B,1704,Luke is a Foodie,1000,12909
1704A,1704,Two 0-1 Sequences,800,14318
1703G,1703,"Good Key, Bad Key",1600,7028
1703F,1703,Yet Another Problem About Pairs Satisfying an Inequality,1300,12787
1703E,1703,Mirror Grid,1200,12574
1703D,1703,Double Strings,1100,18135
1703C,1703,Cypher,800,26870
1703B,1703,ICPC Balloons,800,30873
1703A,1703,YES or YES?,800,35959
1702G2,1702,Passable Paths (hard version),2000,3035
1702G1,1702,Passable Paths (easy version),1900,3758
1702F,1702,Equate Multisets,1700,6099
1702E,1702,Split Into Two Sets,1600,8585
1702D,1702,Not a Cheap String,1000,18169
1702C,1702,Train and Queries,1100,16854
1702B,1702,Polycarp Writes a String from Memory,800,22931
1702A,1702,Round Down the Price,800,27065
1701F,1701,Points,2500,689
1701E,1701,Text Editor,2500,889
1701D,1701,Permutation Restoration,1900,4495
1701C,1701,Schedule Management,1400,12053
1701B,1701,Permutation,800,18404
1701A,1701,Grass Field,800,22601
1700F,1700,Puzzle,2600,637
1700E,1700,Serega the Pirate,2600,623
1700D,1700,River Locks,1900,4620
1700C,1700,Helping the Nature,1700,8267
1700B,1700,Palindromic Numbers ,1100,15228
1700A,1700,Optimal Path,800,20130
1699E,1699,Three Days Grace,2600,814
1699D,1699,Almost Triple Deletions,2300,2505
1699C,1699,The Third Problem,1700,7715
1699B,1699,Almost Ternary Matrix,900,16247
1699A,1699,The Third Three Number Problem,800,21214
1698G,1698,Long Binary String,2900,216
1698F,1698,Equal Reversal,2800,402
1698E,1698,PermutationForces II,2300,1350
1698D,1698,Fixed Point Guessing,1600,6961
1698C,1698,3SUM Closure,1300,14254
1698B,1698,Rising Sand,800,19079
1698A,1698,XOR Mixup,800,22730
1697F,1697,Too Many Constraints,2800,288
1697E,1697,Coloring,2400,944
1697D,1697,Guess The String,1900,3536
1697C,1697,awoo's Favorite Problem,1400,11311
1697B,1697,Promo,900,19991
1697A,1697,Parkway Walk,800,22871
1696H,1696,Maximum Product?,3500,77
1696G,1696,Fishingprince Plays With Array Again,3300,171
1696F,1696,Tree Recovery,2600,686
1696E,1696,Placing Jinas,2000,3014
1696D,1696,Permutation Graph,1900,4327
1696C,1696,Fishingprince Plays With Array,1400,9593
1696B,1696,NIT Destroys the Universe,900,15842
1696A,1696,NIT orz!,800,16263
1695E,1695,Ambiguous Dominoes,2700,318
1695D2,1695,Tree Queries (Hard Version),2300,1507
1695D1,1695,Tree Queries (Easy Version),2200,1656
1695C,1695,Zero Path,1700,7938
1695B,1695,Circle Game,1000,15220
1695A,1695,Subrectangle Guess,800,14941
1694B,1694,Paranoid String,1200,14953
1694A,1694,Creep,800,19960
1693F,1693,I Might Be Wrong,3400,160
1693E,1693,Outermost Maximums,3400,208
1693D,1693,Decinc Dividing,2800,530
1693C,1693,Keshi in Search of AmShZ,2300,1801
1693B,1693,Fake Plastic Trees,1700,6210
1693A,1693,Directional Increase,1300,12758
1692H,1692,Gambling,1700,5167
1692G,1692,2^Sort,1400,10980
1692F,1692,3SUM,1300,14477
1692E,1692,Binary Deque,1200,13938
1692D,1692,The Clock,1100,15067
1692C,1692,Where's the Bishop?,800,25318
1692B,1692,All Distinct,800,25437
1692A,1692,Marathon,800,36448
1691F,1691,K-Set Tree,2500,705
1691E,1691,Number of Groups,2300,1415
1691D,1691,Max GEQ Sum,1800,4059
1691C,1691,Sum of Substrings,1400,12369
1691B,1691,Shoe Shuffling,1000,17625
1691A,1691,Beat The Odds,800,25034
1690G,1690,Count the Trains,2000,2440
1690F,1690,Shifting String,1700,5205
1690E,1690,Price Maximization,1500,11193
1690D,1690,Black and White Stripe,1000,19296
1690C,1690,Restoring the Duration of Tasks,800,22046
1690B,1690,Array Decrements,800,21432
1690A,1690,Print a Pedestal (Codeforces logo?),800,27801
1689E,1689,ANDfinity,2500,920
1689D,1689,Lena and Matrix,1900,3213
1689C,1689,Infected Tree,1600,7490
1689B,1689,Mystic Permutation,900,14446
1689A,1689,Lex String,800,14554
1688C,1688,Manipulating History,1700,6624
1688B,1688,Patchouli's Magical Talisman,800,16130
1688A,1688,Cirno's Perfect Bitmasks Classroom,800,17536
1687F,1687,Koishi's Unconscious Permutation,3500,49
1687E,1687,Become Big For Me,3500,146
1687D,1687,Cute number,2900,384
1687C,1687,Sanae and Giant Robot,2500,1056
1687B,1687,Railway System,1700,2741
1687A,1687,The Enchanted Forest,1600,7954
1686B,1686,Odd Subarrays,800,16058
1686A,1686,Everything Everywhere All But One,800,18660
1685E,1685,The Ultimate LIS Problem,3500,84
1685D2,1685,Permutation Weight (Hard Version),3500,71
1685D1,1685,Permutation Weight (Easy Version),2800,325
1685C,1685,Bring Balance,2600,680
1685B,1685,Linguistics,2000,2590
1685A,1685,Circular Local MiniMax,1100,14279
1684H,1684,Hard Cut,3400,169
1684G,1684,Euclid Guess,2800,426
1684F,1684,Diverse Segments,2600,686
1684E,1684,MEX vs DIFF,2100,2507
1684D,1684,Traps,1700,7554
1684C,1684,Column Swapping,1400,10125
1684B,1684,Z mod X = C,800,18559
1684A,1684,Digit Minimization,800,20900
1682F,1682,MCMF?,2700,208
1682E,1682,Unordered Swaps,2700,397
1682D,1682,Circular Spanning Tree,2000,2603
1682C,1682,LIS or Reverse LIS?,1400,11450
1682B,1682,AND Sorting,1100,14067
1682A,1682,Palindromic Indices,800,17350
1681F,1681,Unique Occurrences,2300,997
1681E,1681,Labyrinth Adventures,2600,484
1681D,1681,Required Length,1700,7240
1681C,1681,Double Sort,1200,13921
1681B,1681,Card Trick,800,17909
1681A,1681,Game with Cards,800,19249
1680F,1680,Lenient Vertex Cover,2600,368
1680E,1680,Moving Chips,2000,2938
1680D,1680,Dog Walking,2400,890
1680C,1680,Binary String,1600,7318
1680B,1680,Robots,800,16667
1680A,1680,Minimums and Maximums,800,19125
1679F,1679,Formalism for Formalism,2600,352
1679E,1679,Typical Party in Dorm,2400,875
1679D,1679,Toss a Coin to Your Graph...,1900,3413
1679C,1679,Rooks Defenders,1400,8052
1679B,1679,Stone Age Problem,1200,13180
1679A,1679,AvtoBus,900,17038
1678B2,1678,Tokitsukaze and Good 01-String (hard version),1800,5278
1678B1,1678,Tokitsukaze and Good 01-String (easy version),800,14358
1678A,1678,Tokitsukaze and All Zero Sequence,800,16494
1677F,1677,Tokitsukaze and Gems,3500,65
1677E,1677,Tokitsukaze and Beautiful Subsegments,2900,349
1677D,1677,Tokitsukaze and Permutations,2500,911
1677C,1677,Tokitsukaze and Two Colorful Tapes,1900,2594
1677B,1677,Tokitsukaze and Meeting,1700,3189
1677A,1677,Tokitsukaze and Strange Inequality,1600,6552
1676H2,1676,Maximum Crossings (Hard Version),1500,7191
1676H1,1676,Maximum Crossings (Easy Version),1400,9939
1676G,1676,White-Black Balanced Subtrees,1300,9681
1676F,1676,Longest Strike,1300,11672
1676E,1676,Eating Queries,1100,17500
1676D,1676,X-Sum,1000,18124
1676C,1676,Most Similar Words,800,22982
1676B,1676,Equal Candies,800,31663
1676A,1676,Lucky?,800,35335
1675G,1675,Sorting Pancakes,2300,1211
1675F,1675,Vlad and Unfinished Business,1800,3627
1675E,1675,"Replace With the Previous, Minimize",1500,7738
1675D,1675,Vertical Paths,1300,9759
1675C,1675,Detective Task,1100,14820
1675B,1675,Make It Increasing,900,19261
1675A,1675,Food for Animals,800,25406
1674G,1674,Remove Directed Edges,2000,1829
1674F,1674,Desktop Rearrangement,1800,3859
1674E,1674,Breaking the Wall,2000,4872
1674D,1674,A-B-C Sort,1200,12518
1674C,1674,Infinite Replacement,1000,18430
1674B,1674,Dictionary,800,21529
1674A,1674,Number Transformation,800,21884
1673F,1673,Anti-Theft Road Planning,2400,614
1673E,1673,Power or XOR?,2500,524
1673D,1673,Lost Arithmetic Progression,1900,2626
1673C,1673,Palindrome Basis,1500,8801
1673B,1673,A Perfectly Balanced String?,1100,12192
1673A,1673,Subtle Substring Subtraction,800,16835
1672I,1672,PermutationForces,3000,86
1672H,1672,Zigu Zagu,2700,678
1672G,1672,Cross Xor,3200,194
1672F2,1672,Checker for Array Shuffling,2800,605
1672F1,1672,Array Shuffling,2000,2446
1672E,1672,notepad.exe,2200,1806
1672D,1672,Cyclic Rotation,1700,4958
1672C,1672,Unequal Array,1100,11255
1672B,1672,I love AAAB,800,14124
1672A,1672,Log Chopping,800,14510
1671F,1671,Permutation Counting,2700,224
1671E,1671,Preorder,2100,2135
1671D,1671,Insert a Progression,1600,5683
1671C,1671,Dolce Vita,1200,12441
1671B,1671,Consecutive Points Segment,1000,15524
1671A,1671,String Building,800,18153
1670F,1670,"Jee, You See?",2400,706
1670E,1670,Hemose on the Tree,2200,1323
1670D,1670,Very Suspicious,1700,3957
1670C,1670,Where is the Pizza?,1400,7437
1670B,1670,Dorms War,1100,10745
1670A,1670,Prof. Slim,800,13957
1669H,1669,Maximal AND,1300,11319
1669G,1669,Fall Down,1200,12780
1669F,1669,Eating Candies,1100,15973
1669E,1669,2-Letter Strings,1200,12512
1669D,1669,Colorful Stamp,1100,16453
1669C,1669,Odd/Even Increments,800,25266
1669B,1669,Triple,800,27504
1669A,1669,Division?,800,34580
1668B,1668,Social Distance,900,14055
1668A,1668,Direction Change,800,15036
1667F,1667,Yin Yang,3500,52
1667E,1667,Centroid Probabilities,3000,363
1667D,1667,Edge Elimination,2900,434
1667C,1667,Half Queen Cover,2400,1105
1667B,1667,Optimal Partition,2100,2761
1667A,1667,Make it Increasing,1300,11783
1666L,1666,Labyrinth,1800,2283
1666K,1666,Kingdom Partition,3200,80
1666J,1666,Job Lookup,2100,1015
1666I,1666,Interactive Treasure Hunt,2200,1092
1666H,1666,Heroes of Might,3500,32
1666G,1666,Global Warming,3100,98
1666F,1666,Fancy Stack,2200,806
1666E,1666,Even Split,2500,511
1666D,1666,Deletive Editing,900,4929
1666C,1666,Connect the Points,1800,2409
1666B,1666,Budget Distribution,3300,33
1666A,1666,Admissible Map,3300,65
1665E,1665,MinimizOR,2500,1086
1665D,1665,GCD Guess,2000,2847
1665C,1665,Tree Infection,1600,6455
1665B,1665,Array Cloning Technique,900,15868
1665A,1665,GCD vs LCM,800,20309
1663H,1663,Cross-Language Program,0,1072
1663G,1663,Six Characters,0,143
1663F,1663,In Every Generation...,0,256
1663E,1663,Are You Safe?,0,432
1663D,1663,Is it rated - 3,0,1151
1663C,1663,Pōja Verdon,0,5014
1663B,1663,Mike's Sequence,0,2819
1663A,1663,Who Tested?,0,8931
1662O,1662,Circular Maze,0,782
1662N,1662,Drone Photo,0,364
1662M,1662,Bottle Arrangements,0,2238
1662L,1662,Il Derby della Madonnina,0,604
1662K,1662,Pandemic Restrictions,0,185
1662J,1662,Training Camp,0,48
1662I,1662,Ice Cream Shop,0,1220
1662H,1662,Boundary,0,1798
1662G,1662,Gastronomic Event,0,270
1662F,1662,Antennas,0,586
1662E,1662,Round Table,0,75
1662D,1662,Evolution of Weasels,0,1024
1662C,1662,European Trip,0,199
1662B,1662,Toys,0,107
1662A,1662,Organizing SWERC,0,3057
1661F,1661,Teleporters,2600,409
1661E,1661,Narrow Components,2500,726
1661D,1661,Progressions Covering,1900,3507
1661C,1661,Water the Trees,1700,7220
1661B,1661,Getting Zero,1300,13161
1661A,1661,Array Balancing,800,16912
1660F2,1660,Promising String (hard version),2100,2095
1660F1,1660,Promising String (easy version),1700,5747
1660E,1660,Matrix and Shifts,1600,5622
1660D,1660,Maximum Product Strikes Back,1600,6416
1660C,1660,Get an Even String,1300,15021
1660B,1660,Vlad and Candies,800,24274
1660A,1660,Vasya and Coins,800,29878
1659F,1659,Tree and Permutation Game,3000,127
1659E,1659,AND-MEX Walk,2200,1111
1659D,1659,Reverse Sort Sum,1900,3152
1659C,1659,Line Empire,1500,7600
1659B,1659,Bit Flipping,1300,8706
1659A,1659,Red Versus Blue,1000,13913
1658F,1658,Juju and Binary String,2700,566
1658E,1658,Gojou and Matrix Game,2500,786
1658D2,1658,388535 (Hard Version),2300,1967
1658D1,1658,388535 (Easy Version),1600,7202
1658C,1658,Shinju and the Lost Permutation,1700,7922
1658B,1658,Marin and Anti-coprime Permutation,800,16790
1658A,1658,Marin and Photoshoot,800,18867
1657F,1657,Words on Tree,2600,412
1657E,1657,Star MST,2200,1392
1657D,1657,For Gamers. By Gamers.,2000,4090
1657C,1657,Bracket Sequence Deletion,1200,14605
1657B,1657,XY Sequence,800,20904
1657A,1657,Integer Moves,800,21859
1656I,1656,Neighbour Ordering,3500,58
1656H,1656,Equal LCM Subsets,3200,231
1656G,1656,Cycle Palindrome,3200,199
1656F,1656,Parametric MST,2600,764
1656E,1656,Equal Tree Sums,2200,2659
1656D,1656,K-good,1900,5437
1656C,1656,Make Equal With Mod,1200,14703
1656B,1656,Subtract Operation,1100,14866
1656A,1656,Good Pairs,800,17707
1654H,1654,Three Minimums,3500,52
1654G,1654,Snowy Mountain,2900,247
1654F,1654,Minimal String Xoration,2800,756
1654E,1654,Arithmetic Operations,2300,1603
1654D,1654,Potion Brewing Class,2100,2381
1654C,1654,Alice and the Cake,1400,11126
1654B,1654,Prefix Removals,800,14564
1654A,1654,Maximum Cake Tastiness,800,17065
1651F,1651,Tower Defense,3000,201
1651E,1651,Sum of Matchings,2600,390
1651D,1651,Nearest Excluded Points,1900,3908
1651C,1651,Fault-tolerant Network,1500,9018
1651B,1651,Prove Him Wrong,800,18401
1651A,1651,Playoff,800,23212
1650G,1650,Counting Shortcuts,2100,1845
1650F,1650,Vitaly and Advanced Useless Algorithms,2200,1120
1650E,1650,Rescheduling the Exam,1900,3401
1650D,1650,Twist the Permutation,1300,10720
1650C,1650,Weight of the System of Nested Segments,1200,14001
1650B,1650,DIV + MOD,900,22352
1650A,1650,Deletions of Two Adjacent Letters,800,29026
1649B,1649,Game of Ball Passing,1300,10910
1649A,1649,Game,800,14187
1648F,1648,Two Avenues,3500,41
1648E,1648,Air Reform,3200,253
1648D,1648,Serious Business,2800,578
1648C,1648,Tyler and Strings,1900,2370
1648B,1648,Integral Array,1800,5061
1648A,1648,Weird Sum,1400,9509
1647F,1647,Madoka and Laziness,3100,292
1647E,1647,Madoka and the Sixth-graders,2500,793
1647D,1647,Madoka and the Best School in Russia,1900,4331
1647C,1647,Madoka and Childish Pranks,1300,10930
1647B,1647,Madoka and the Elegant Gift,1200,13405
1647A,1647,Madoka and Math Dad,800,20746
1646F,1646,Playing Around the Table,2900,305
1646E,1646,Power Board,2200,1827
1646D,1646,Weight the Tree,2000,2722
1646C,1646,Factorials and Powers of Two,1500,10324
1646B,1646,Quality vs Quantity,800,18385
1646A,1646,Square Counting,800,21720
1644F,1644,Basis,2900,254
1644E,1644,Expand the Path,1900,2480
1644D,1644,Cross Coloring,1700,5891
1644C,1644,Increase Subarray Sums,1400,11277
1644B,1644,Anti-Fibonacci Permutation,800,19281
1644A,1644,Doors and Keys,800,24145
1642B,1642,Power Walking,900,14792
1642A,1642,Hard Way,800,14795
1641F,1641,Covering Circle,3500,62
1641E,1641,Special Positions,3300,167
1641D,1641,Two Arrays,2700,787
1641C,1641,Anonymity Is Important,2200,1922
1641B,1641,Repetitions Decoding,2000,3296
1641A,1641,Great Sequence,1200,14895
1639K,1639,Treasure Hunt,0,0
1639J,1639,Treasure Hunt,0,0
1639I,1639,Treasure Hunt,0,0
1639H,1639,Treasure Hunt,0,0
1639G,1639,Treasure Hunt,0,0
1639F,1639,Treasure Hunt,0,0
1639E,1639,Treasure Hunt,0,0
1639D,1639,Treasure Hunt,0,0
1639C,1639,Treasure Hunt,0,0
1639B,1639,Treasure Hunt,0,0
1639A,1639,Treasure Hunt,0,0
1638F,1638,Two Posters,3200,146
1638E,1638,Colorful Operations,2400,1448
1638D,1638,Big Brush,2000,3517
1638C,1638,Inversion Graph,1300,12425
1638B,1638,Odd Swap Sort,1100,17645
1638A,1638,Reverse,800,20018
1637H,1637,Minimize Inversions Number,3500,172
1637G,1637,Birthday,3000,346
1637F,1637,Towers,2500,1367
1637E,1637,Best Pair,2100,2722
1637D,1637,Yet Another Minimization Problem,1800,6115
1637C,1637,Andrew and Stones,1200,15039
1637B,1637,MEX and Array,1100,13700
